ZipCode,ZipCode Latitude,ZipCode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
30101,34.052285,-84.68483,Kroger Grocery Pickup and Delivery,34.05614,-84.6842722,Grocery Store
30102,34.097998,-84.6183,Brand New Basements,34.09656,-84.61896,Construction & Landscaping
30102,34.097998,-84.6183,Rabbit Hole to Onederland,34.096345,-84.618785,Garden
30102,34.097998,-84.6183,Ridge Mill Pool,34.09815,-84.618953,Pool
30102,34.097998,-84.6183,"ResCon Chandler Group, LLC",34.099962,-84.614312,Carpet Store
30320,33.656824,-84.423648,Delta Flight Museum,33.656201228272415,-84.42214484894274,Museum
30320,33.656824,-84.423648,Delta 747 Museum,33.656962,-84.421723,Museum
30320,33.656824,-84.423648,Chick-fil-A,33.656296,-84.424104,Fast Food Restaurant
30320,33.656824,-84.423648,Delta Fitness Center,33.656859159230194,-84.42414069298766,Gym / Fitness Center
30320,33.656824,-84.423648,Olympus Gym,33.659205641303735,-84.4220668589635,Gym
30320,33.656824,-84.423648,La Quinta Inn & Suites Atlanta Airport North,33.6580043,-84.4286176,Hotel
30320,33.656824,-84.423648,Walmart Pharmacy,33.65694667474571,-84.42331616557199,Pharmacy
30320,33.656824,-84.423648,Renaissance Club Lounge,33.65390056675654,-84.42718498269147,Lounge
30320,33.656824,-84.423648,OTTER #3,33.659345736889556,-84.42122390985269,Convenience Store
30320,33.656824,-84.423648,Hammers Beach Bar,33.65879903091885,-84.41926516961405,Cocktail Bar
30320,33.656824,-84.423648,RaceTrac,33.65859700717,-84.427675948147,Convenience Store
30320,33.656824,-84.423648,American Deli,33.65904640993426,-84.42238807304403,Wings Joint
30320,33.656824,-84.423648,Hilton,33.6600554,-84.4245492,Hotel
30320,33.656824,-84.423648,Renaissance Concourse Atlanta Airport Hotel,33.65392602978128,-84.42727113157162,Hotel
30320,33.656824,-84.423648,Woolman Cafe,33.65671737744474,-84.42367993250123,American Restaurant
30320,33.656824,-84.423648,Andiamo,33.66003699704036,-84.4249549019226,Italian Restaurant
30320,33.656824,-84.423648,Hilton Executive Lounge,33.65991433674619,-84.4249417329466,Hotel
30320,33.656824,-84.423648,Starbucks,33.656518542500315,-84.4242431679824,Coffee Shop
30320,33.656824,-84.423648,Delta Hangar Sale,33.65717690392114,-84.42472141011409,Flea Market
30320,33.656824,-84.423648,Hammer's Goodtime Emporium,33.65870258581276,-84.41891825596485,Bar
30320,33.656824,-84.423648,Herb N' Kitchen,33.659673,-84.42471,Coffee Shop
30320,33.656824,-84.423648,Concourse Grill,33.65389257031114,-84.42721970816916,American Restaurant
30320,33.656824,-84.423648,Hertz,33.659917,-84.424918,Rental Car Location
30320,33.656824,-84.423648,Titan Comics,33.660148387692125,-84.42371107345835,Comic Shop
30320,33.656824,-84.423648,Hilton Fitness Center,33.66002959884627,-84.42500950109694,Gym / Fitness Center
30320,33.656824,-84.423648,Star Cafe,33.65446472167969,-84.4268569946289,Café
